tiger:zip_left_5,2
old_name:pt,2
fuel,2
name:ru,2
name:absent,2
power_supply,2
fuel:diesel,2
contact:email,2
generator:output:electricity,2
office:historic,2
building:use,2
substation,2
building:material,2
gay,2
old_name:es,2
source:date,2
payment:notes,2
toilets,2
bread,2
official_name:en,2
elevation,2
works,2
calming,2
aerodrome,2
start_date,2
park:type,2
car_wash,2
abandoned:amenity,2
FIXME:access,2
min_height,2
health_facility:type,1
user_defined_other,1
name:ko,1
health_specialty:dialysis,1
source:amenity,1
recycling:glass_bottles,1
name:uk,1
faa,1
hide,1
studio,1
tiger:zip,1
leisure:historic,1
socket:type1_chademo,1
fuel:diesel_2,1
service:bicycle:retail,1
massage,1
payment:dogecoin,1
gnis:state_id6,1
marker,1
club,1
fieldcheck:note,1
site,1
building:min_level,1
name:,1
proposed:amenity,1
recycling:tv_monitor,1
recycling:cooking_oil,1
ref_heritage,1
award:michelin,1
species,1
place_name,1
gated_community,1
feature,1
name:fr,1
diet:gluten_free,1
crossing:light,1
addr:place,1
payment:diners_club,1
addr:housenumber_6,1
addr:housenumber_5,1
radar,1
tourism_1,1
source:position,1
cash_in,1
ship,1
source:population,1
hwd:ROUTEID,1
bank,1
fieldcheck,1
canoe,1
roof:material,1
ref:nrhp,1
diesel,1
check_date,1
mountain_pass,1
service:bicycle:repair,1
drink,1
leaf_cycle,1
organic,1
shelter_type,1
takeout,1
toilets:wheelchair,1
railway:historic,1
disused:landuse,1
Website,1
noname,1
old_name:la,1
artist_name,1
source:level,1
atm:fee,1
Keywords,1
roof:levels,1
source:highway,1
pedestrian,1
est_width,1
sanitary_dump_station,1
recycling:low_energy_bulbs,1
loc_name:pt,1
reuse:books,1
fuel:unleaded,1
keywords,1
locomotive:type,1
wood,1
flashing_lights,1
recycling:waste_oil,1
drinkwater,1
recycling:fluorescent_tubes,1
reviewed,1
bar,1
motorboat,1
place:historic,1
power_source,1
payment:mastercard,1
int_name,1
ROUTEID,1
gnis:county_id85,1
building:max_level,1
preserve,1
stop:direction,1
recycling:cardboard,1
recycling:batteries,1
toilets:female,1
post_office:type,1
historical:amenity,1
recycling:plastic,1
residential,1
old_short_name,1
